央卫频道,#genre#
安徽卫视,http://14.117.234.250:8688/rtp/239.77.1.92:5146$广东电信
北京卫视,http://14.117.234.250:8688/rtp/239.77.1.151:5146$广东电信
东方卫视,http://14.117.234.250:8688/rtp/239.77.1.218:5146$广东电信
东南卫视,http://14.117.234.250:8688/rtp/239.77.1.104:5146$广东电信
甘肃卫视,http://14.117.234.250:8688/rtp/239.77.0.189:5146$广东电信
广西卫视,http://14.117.234.250:8688/rtp/239.253.43.36:5146$广东电信
贵州卫视,http://14.117.234.250:8688/rtp/239.77.1.221:5146$广东电信
河北卫视,http://14.117.234.250:8688/rtp/239.77.1.214:5146$广东电信
河南卫视,http://14.117.234.250:8688/rtp/239.77.1.229:5146$广东电信
黑龙江卫视,http://14.117.234.250:8688/rtp/239.77.0.124:5146$广东电信
湖北卫视,http://14.117.234.250:8688/rtp/239.77.0.128:5146$广东电信
湖南卫视,http://14.117.234.250:8688/rtp/239.77.1.5:5146$广东电信
吉林卫视,http://14.117.234.250:8688/rtp/239.77.1.111:5146$广东电信
江苏卫视,http://14.117.234.250:8688/rtp/239.77.1.18:5146$广东电信
江西卫视,http://14.117.234.250:8688/rtp/239.77.1.219:5146$广东电信
辽宁卫视,http://14.117.234.250:8688/rtp/239.77.1.103:5146$广东电信
青海卫视,http://14.117.234.250:8688/rtp/239.253.43.125:5146$广东电信
三沙卫视,http://14.117.234.250:8688/rtp/239.253.43.113:5146$广东电信
山东卫视,http://14.117.234.250:8688/rtp/239.77.1.142:5146$广东电信
四川卫视,http://14.117.234.250:8688/rtp/239.77.1.215:5146$广东电信
天津卫视,http://14.117.234.250:8688/rtp/239.77.0.131:5146$广东电信
云南卫视,http://14.117.234.250:8688/rtp/239.253.43.37:5146$广东电信
浙江卫视,http://14.117.234.250:8688/rtp/239.77.1.33:5146$广东电信
重庆卫视,http://14.117.234.250:8688/rtp/239.77.1.162:5146$广东电信
CCTV1,http://61.145.188.90:60022/rtp/239.77.1.144:5146$广东电信
CCTV2,http://61.145.188.90:60022/rtp/239.77.1.158:5146$广东电信
CCTV3,http://61.145.188.90:60022/rtp/239.77.0.169:5146$广东电信
CCTV4,http://61.145.188.90:60022/rtp/239.77.1.163:5146$广东电信
CCTV5,http://61.145.188.90:60022/rtp/239.77.0.170:5146$广东电信
CCTV6,http://61.145.188.90:60022/rtp/239.77.0.171:5146$广东电信
CCTV7,http://61.145.188.90:60022/rtp/239.77.1.159:5146$广东电信
CCTV8,http://61.145.188.90:60022/rtp/239.77.0.172:5146$广东电信
CCTV9,http://61.145.188.90:60022/rtp/239.77.1.160:5146$广东电信
CCTV10,http://61.145.188.90:60022/rtp/239.77.1.113:5146$广东电信
CCTV11,http://61.145.188.90:60022/rtp/239.77.1.238:5146$广东电信
CCTV12,http://61.145.188.90:60022/rtp/239.77.1.109:5146$广东电信
CCTV13,http://61.145.188.90:60022/rtp/239.77.0.188:5146$广东电信
CCTV14,http://61.145.188.90:60022/rtp/239.77.1.161:5146$广东电信
CCTV15,http://61.145.188.90:60022/rtp/239.77.1.239:5146$广东电信
CCTV16,http://61.145.188.90:60022/rtp/239.77.0.165:5146$广东电信
CCTV17,http://61.145.188.90:60022/rtp/239.77.1.121:5146$广东电信
CCTV5+,http://61.145.188.90:60022/rtp/239.77.0.87:5146$广东电信
安徽卫视,http://61.145.188.90:60022/rtp/239.77.1.92:5146$广东电信
北京卫视,http://61.145.188.90:60022/rtp/239.77.1.151:5146$广东电信
东方卫视,http://61.145.188.90:60022/rtp/239.77.1.218:5146$广东电信
东南卫视,http://61.145.188.90:60022/rtp/239.77.1.104:5146$广东电信
甘肃卫视,http://61.145.188.90:60022/rtp/239.77.0.189:5146$广东电信
广西卫视,http://61.145.188.90:60022/rtp/239.253.43.36:5146$广东电信
贵州卫视,http://61.145.188.90:60022/rtp/239.77.1.221:5146$广东电信
河北卫视,http://61.145.188.90:60022/rtp/239.77.1.214:5146$广东电信
河南卫视,http://61.145.188.90:60022/rtp/239.77.1.229:5146$广东电信
黑龙江卫视,http://61.145.188.90:60022/rtp/239.77.0.124:5146$广东电信
湖北卫视,http://61.145.188.90:60022/rtp/239.77.0.128:5146$广东电信
湖南卫视,http://61.145.188.90:60022/rtp/239.77.1.5:5146$广东电信
吉林卫视,http://61.145.188.90:60022/rtp/239.77.1.111:5146$广东电信
江苏卫视,http://61.145.188.90:60022/rtp/239.77.1.18:5146$广东电信
江西卫视,http://61.145.188.90:60022/rtp/239.77.1.219:5146$广东电信
辽宁卫视,http://61.145.188.90:60022/rtp/239.77.1.103:5146$广东电信
青海卫视,http://61.145.188.90:60022/rtp/239.253.43.125:5146$广东电信
三沙卫视,http://61.145.188.90:60022/rtp/239.253.43.113:5146$广东电信
山东卫视,http://61.145.188.90:60022/rtp/239.77.1.142:5146$广东电信
四川卫视,http://61.145.188.90:60022/rtp/239.77.1.215:5146$广东电信
天津卫视,http://61.145.188.90:60022/rtp/239.77.0.131:5146$广东电信
云南卫视,http://61.145.188.90:60022/rtp/239.253.43.37:5146$广东电信
浙江卫视,http://61.145.188.90:60022/rtp/239.77.1.33:5146$广东电信
重庆卫视,http://61.145.188.90:60022/rtp/239.77.1.162:5146$广东电信
CCTV1,http://113.95.147.188:8088/udp/239.77.1.144:5146$广东电信
CCTV2,http://113.95.147.188:8088/udp/239.77.1.158:5146$广东电信
CCTV3,http://113.95.147.188:8088/udp/239.77.0.169:5146$广东电信
CCTV4,http://113.95.147.188:8088/udp/239.77.1.163:5146$广东电信
CCTV5,http://113.95.147.188:8088/udp/239.77.0.170:5146$广东电信
CCTV6,http://113.95.147.188:8088/udp/239.77.0.171:5146$广东电信
CCTV7,http://113.95.147.188:8088/udp/239.77.1.159:5146$广东电信
CCTV8,http://113.95.147.188:8088/udp/239.77.0.172:5146$广东电信
CCTV9,http://113.95.147.188:8088/udp/239.77.1.160:5146$广东电信
CCTV10,http://113.95.147.188:8088/udp/239.77.1.113:5146$广东电信
CCTV11,http://113.95.147.188:8088/udp/239.77.1.238:5146$广东电信
CCTV12,http://113.95.147.188:8088/udp/239.77.1.109:5146$广东电信
CCTV13,http://113.95.147.188:8088/udp/239.77.0.188:5146$广东电信
CCTV14,http://113.95.147.188:8088/udp/239.77.1.161:5146$广东电信
CCTV15,http://113.95.147.188:8088/udp/239.77.1.239:5146$广东电信
CCTV16,http://113.95.147.188:8088/udp/239.77.0.165:5146$广东电信
CCTV17,http://113.95.147.188:8088/udp/239.77.1.121:5146$广东电信
CCTV5+,http://113.95.147.188:8088/udp/239.77.0.87:5146$广东电信
安徽卫视,http://113.95.147.188:8088/udp/239.77.1.92:5146$广东电信
北京卫视,http://113.95.147.188:8088/udp/239.77.1.151:5146$广东电信
东方卫视,http://113.95.147.188:8088/udp/239.77.1.218:5146$广东电信
东南卫视,http://113.95.147.188:8088/udp/239.77.1.104:5146$广东电信
甘肃卫视,http://113.95.147.188:8088/udp/239.77.0.189:5146$广东电信
广西卫视,http://113.95.147.188:8088/udp/239.253.43.36:5146$广东电信
贵州卫视,http://113.95.147.188:8088/udp/239.77.1.221:5146$广东电信
河北卫视,http://113.95.147.188:8088/udp/239.77.1.214:5146$广东电信
河南卫视,http://113.95.147.188:8088/udp/239.77.1.229:5146$广东电信
黑龙江卫视,http://113.95.147.188:8088/udp/239.77.0.124:5146$广东电信
湖北卫视,http://113.95.147.188:8088/udp/239.77.0.128:5146$广东电信
湖南卫视,http://113.95.147.188:8088/udp/239.77.1.5:5146$广东电信
吉林卫视,http://113.95.147.188:8088/udp/239.77.1.111:5146$广东电信
江苏卫视,http://113.95.147.188:8088/udp/239.77.1.18:5146$广东电信
江西卫视,http://113.95.147.188:8088/udp/239.77.1.219:5146$广东电信
辽宁卫视,http://113.95.147.188:8088/udp/239.77.1.103:5146$广东电信
青海卫视,http://113.95.147.188:8088/udp/239.253.43.125:5146$广东电信
三沙卫视,http://113.95.147.188:8088/udp/239.253.43.113:5146$广东电信
山东卫视,http://113.95.147.188:8088/udp/239.77.1.142:5146$广东电信
四川卫视,http://113.95.147.188:8088/udp/239.77.1.215:5146$广东电信
天津卫视,http://113.95.147.188:8088/udp/239.77.0.131:5146$广东电信
云南卫视,http://113.95.147.188:8088/udp/239.253.43.37:5146$广东电信
浙江卫视,http://113.95.147.188:8088/udp/239.77.1.33:5146$广东电信
重庆卫视,http://113.95.147.188:8088/udp/239.77.1.162:5146$广东电信
CCTV1,http://n1.gzbody.com:85/rtp/239.77.1.144:5146$广东电信
CCTV2,http://n1.gzbody.com:85/rtp/239.77.1.158:5146$广东电信
CCTV3,http://n1.gzbody.com:85/rtp/239.77.0.169:5146$广东电信
CCTV4,http://n1.gzbody.com:85/rtp/239.77.1.163:5146$广东电信
CCTV5,http://n1.gzbody.com:85/rtp/239.77.0.170:5146$广东电信
CCTV6,http://n1.gzbody.com:85/rtp/239.77.0.171:5146$广东电信
CCTV7,http://n1.gzbody.com:85/rtp/239.77.1.159:5146$广东电信
CCTV8,http://n1.gzbody.com:85/rtp/239.77.0.172:5146$广东电信
CCTV9,http://n1.gzbody.com:85/rtp/239.77.1.160:5146$广东电信
CCTV10,http://n1.gzbody.com:85/rtp/239.77.1.113:5146$广东电信
CCTV11,http://n1.gzbody.com:85/rtp/239.77.1.238:5146$广东电信
CCTV12,http://n1.gzbody.com:85/rtp/239.77.1.109:5146$广东电信
CCTV13,http://n1.gzbody.com:85/rtp/239.77.0.188:5146$广东电信
CCTV14,http://n1.gzbody.com:85/rtp/239.77.1.161:5146$广东电信
CCTV15,http://n1.gzbody.com:85/rtp/239.77.1.239:5146$广东电信
CCTV16,http://n1.gzbody.com:85/rtp/239.77.0.165:5146$广东电信
CCTV17,http://n1.gzbody.com:85/rtp/239.77.1.121:5146$广东电信
CCTV5+,http://n1.gzbody.com:85/rtp/239.77.0.87:5146$广东电信
安徽卫视,http://n1.gzbody.com:85/rtp/239.77.1.92:5146$广东电信
北京卫视,http://n1.gzbody.com:85/rtp/239.77.1.151:5146$广东电信
东方卫视,http://n1.gzbody.com:85/rtp/239.77.1.218:5146$广东电信
东南卫视,http://n1.gzbody.com:85/rtp/239.77.1.104:5146$广东电信
甘肃卫视,http://n1.gzbody.com:85/rtp/239.77.0.189:5146$广东电信
广西卫视,http://n1.gzbody.com:85/rtp/239.253.43.36:5146$广东电信
贵州卫视,http://n1.gzbody.com:85/rtp/239.77.1.221:5146$广东电信
河北卫视,http://n1.gzbody.com:85/rtp/239.77.1.214:5146$广东电信
河南卫视,http://n1.gzbody.com:85/rtp/239.77.1.229:5146$广东电信
黑龙江卫视,http://n1.gzbody.com:85/rtp/239.77.0.124:5146$广东电信
湖北卫视,http://n1.gzbody.com:85/rtp/239.77.0.128:5146$广东电信
湖南卫视,http://n1.gzbody.com:85/rtp/239.77.1.5:5146$广东电信
吉林卫视,http://n1.gzbody.com:85/rtp/239.77.1.111:5146$广东电信
江苏卫视,http://n1.gzbody.com:85/rtp/239.77.1.18:5146$广东电信
江西卫视,http://n1.gzbody.com:85/rtp/239.77.1.219:5146$广东电信
辽宁卫视,http://n1.gzbody.com:85/rtp/239.77.1.103:5146$广东电信
青海卫视,http://n1.gzbody.com:85/rtp/239.253.43.125:5146$广东电信
三沙卫视,http://n1.gzbody.com:85/rtp/239.253.43.113:5146$广东电信
山东卫视,http://n1.gzbody.com:85/rtp/239.77.1.142:5146$广东电信
四川卫视,http://n1.gzbody.com:85/rtp/239.77.1.215:5146$广东电信
天津卫视,http://n1.gzbody.com:85/rtp/239.77.0.131:5146$广东电信
云南卫视,http://n1.gzbody.com:85/rtp/239.253.43.37:5146$广东电信
浙江卫视,http://n1.gzbody.com:85/rtp/239.77.1.33:5146$广东电信
重庆卫视,http://n1.gzbody.com:85/rtp/239.77.1.162:5146$广东电信
CCTV1,http://113.76.149.96:4022/rtp/239.77.1.144:5146$广东电信
CCTV2,http://113.76.149.96:4022/rtp/239.77.1.158:5146$广东电信
CCTV3,http://113.76.149.96:4022/rtp/239.77.0.169:5146$广东电信
CCTV4,http://113.76.149.96:4022/rtp/239.77.1.163:5146$广东电信
CCTV5,http://113.76.149.96:4022/rtp/239.77.0.170:5146$广东电信
CCTV6,http://113.76.149.96:4022/rtp/239.77.0.171:5146$广东电信
CCTV7,http://113.76.149.96:4022/rtp/239.77.1.159:5146$广东电信
CCTV8,http://113.76.149.96:4022/rtp/239.77.0.172:5146$广东电信
CCTV9,http://113.76.149.96:4022/rtp/239.77.1.160:5146$广东电信
CCTV10,http://113.76.149.96:4022/rtp/239.77.1.113:5146$广东电信
CCTV11,http://113.76.149.96:4022/rtp/239.77.1.238:5146$广东电信
CCTV12,http://113.76.149.96:4022/rtp/239.77.1.109:5146$广东电信
CCTV13,http://113.76.149.96:4022/rtp/239.77.0.188:5146$广东电信
CCTV14,http://113.76.149.96:4022/rtp/239.77.1.161:5146$广东电信
CCTV15,http://113.76.149.96:4022/rtp/239.77.1.239:5146$广东电信
CCTV16,http://113.76.149.96:4022/rtp/239.77.0.165:5146$广东电信
CCTV17,http://113.76.149.96:4022/rtp/239.77.1.121:5146$广东电信
CCTV5+,http://113.76.149.96:4022/rtp/239.77.0.87:5146$广东电信
安徽卫视,http://113.76.149.96:4022/rtp/239.77.1.92:5146$广东电信
北京卫视,http://113.76.149.96:4022/rtp/239.77.1.151:5146$广东电信
东方卫视,http://113.76.149.96:4022/rtp/239.77.1.218:5146$广东电信
东南卫视,http://113.76.149.96:4022/rtp/239.77.1.104:5146$广东电信
甘肃卫视,http://113.76.149.96:4022/rtp/239.77.0.189:5146$广东电信
广西卫视,http://113.76.149.96:4022/rtp/239.253.43.36:5146$广东电信
贵州卫视,http://113.76.149.96:4022/rtp/239.77.1.221:5146$广东电信
河北卫视,http://113.76.149.96:4022/rtp/239.77.1.214:5146$广东电信
河南卫视,http://113.76.149.96:4022/rtp/239.77.1.229:5146$广东电信
黑龙江卫视,http://113.76.149.96:4022/rtp/239.77.0.124:5146$广东电信
湖北卫视,http://113.76.149.96:4022/rtp/239.77.0.128:5146$广东电信
湖南卫视,http://113.76.149.96:4022/rtp/239.77.1.5:5146$广东电信
吉林卫视,http://113.76.149.96:4022/rtp/239.77.1.111:5146$广东电信
江苏卫视,http://113.76.149.96:4022/rtp/239.77.1.18:5146$广东电信
江西卫视,http://113.76.149.96:4022/rtp/239.77.1.219:5146$广东电信
辽宁卫视,http://113.76.149.96:4022/rtp/239.77.1.103:5146$广东电信
青海卫视,http://113.76.149.96:4022/rtp/239.253.43.125:5146$广东电信
三沙卫视,http://113.76.149.96:4022/rtp/239.253.43.113:5146$广东电信
山东卫视,http://113.76.149.96:4022/rtp/239.77.1.142:5146$广东电信
四川卫视,http://113.76.149.96:4022/rtp/239.77.1.215:5146$广东电信
天津卫视,http://113.76.149.96:4022/rtp/239.77.0.131:5146$广东电信
云南卫视,http://113.76.149.96:4022/rtp/239.253.43.37:5146$广东电信
浙江卫视,http://113.76.149.96:4022/rtp/239.77.1.33:5146$广东电信
重庆卫视,http://113.76.149.96:4022/rtp/239.77.1.162:5146$广东电信
